id,session_key,date,lap_number,category,flag,scope,message,driver_number
869,9118,2023-07-02T13:25:49+00:00,18,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - TRACK LIMITS,
870,9118,2023-07-02T13:25:53+00:00,18,Other,,,CAR 27 (HUL) TIME 1:11.248 DELETED - TRACK LIMITS AT TURN 9 LAP 9 15:15:11,
871,9118,2023-07-02T13:26:00+00:00,18,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 22 (TSU) - TRACK LIMITS,
872,9118,2023-07-02T13:27:31+00:00,20,Other,,,PIT LANE INCIDENT INVOLVING CARS 23 (ALB) AND 10 (GAS) NOTED ,
873,9118,2023-07-02T13:28:00+00:00,20,Other,,,CORRECTION: PIT LANE INCIDENT INVOLVING CARS 2 (SAR) AND 10 (GAS) NOTED ,
874,9118,2023-07-02T13:28:05+00:00,20,Other,,,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP PIT),
875,9118,2023-07-02T13:28:17+00:00,20,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - TRACK LIMITS,27
876,9118,2023-07-02T13:29:21+00:00,21,Other,,,CORRECTION: PIT LANE INCIDENT INVOLVING CARS 2 (SAR) AND 31 (OCO) NOTED ,
877,9118,2023-07-02T13:29:56+00:00,22,Other,,,CAR 55 (SAI) TIME 1:10.570 DELETED - TRACK LIMITS AT TURN 9 LAP 10 15:16:13,
878,9118,2023-07-02T13:30:14+00:00,22,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - TRACK LIMITS,55
879,9118,2023-07-02T13:30:47+00:00,22,Other,,,CAR 18 (STR) TIME 1:11.037 DELETED - TRACK LIMITS AT TURN 9 LAP 10 15:16:21,
880,9118,2023-07-02T13:31:27+00:00,23,Other,,,CAR 55 (SAI) TIME 1:10.395 DELETED - TRACK LIMITS AT TURN 9 LAP 11 15:17:23,
881,9118,2023-07-02T13:32:07+00:00,24,Other,,,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 2 (SAR) AND 31 (OCO) UNDER INVESTIGATION ,
882,9118,2023-07-02T13:32:11+00:00,24,Other,,,CAR 11 (PER) TIME 1:11.526 DELETED - TRACK LIMITS AT TURN 9 LAP 11 15:17:35,
883,9118,2023-07-02T13:33:33+00:00,25,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 31 (OCO) - UNSAFE RELEASE,
884,9118,2023-07-02T13:33:37+00:00,25,Other,,,CAR 81 (PIA) TIME 1:11.339 DELETED - TRACK LIMITS AT TURN 9 LAP 12 15:18:49,
885,9118,2023-07-02T13:34:49+00:00,26,Other,,,CAR 11 (PER) TIME 1:10.289 DELETED - TRACK LIMITS AT TURN 10 LAP 17 15:25:19,
886,9118,2023-07-02T13:34:50+00:00,26,Other,,,CAR 11 (PER) TIME 1:10.399 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
887,9118,2023-07-02T13:35:31+00:00,26,Other,,,CAR 2 (SAR) TIME 1:46.237 DELETED - TRACK LIMITS AT TURN 9 LAP 15 15:23:14,
888,9118,2023-07-02T13:37:50+00:00,28,Other,,,CAR 55 (SAI) TIME 1:09.129 DELETED - TRACK LIMITS AT TURN 9 LAP 17 15:25:18,
889,9118,2023-07-02T13:38:01+00:00,28,Other,,,INCIDENT INVOLVING CAR 55 (SAI) NOTED - TRACK LIMITS,
890,9118,2023-07-02T13:38:12+00:00,29,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - TRACK LIMITS,
891,9118,2023-07-02T13:38:19+00:00,29,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 55 (SAI) - TRACK LIMITS,
892,9118,2023-07-02T13:39:31+00:00,30,Other,,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - FAILING TO SERVE PENALTY CORRECTLY,
893,9118,2023-07-02T13:39:44+00:00,30,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - FAILING TO SERVE PENALTY CORRECTLY,
894,9118,2023-07-02T13:40:25+00:00,30,Other,,,CAR 23 (ALB) TIME 1:11.355 DELETED - TRACK LIMITS AT TURN 9 LAP 19 15:27:53,
895,9118,2023-07-02T13:40:59+00:00,31,Other,,,CAR 23 (ALB) TIME 1:11.305 DELETED - TRACK LIMITS AT TURN 9 LAP 20 15:29:05,
