id,race_id,driver_id,constructor_id,number,position,points,grid,laps,status,qualifying_position
7373,2020_5,hulkenberg,racing_point,27,7,6.0,3,52,Finished,3
7374,2020_5,ocon,renault,31,8,4.0,14,52,Finished,11
7375,2020_5,norris,mclaren,4,9,2.0,10,52,Finished,10
7376,2020_5,kvyat,alphatauri,26,10,1.0,16,52,Finished,16
7377,2020_5,gasly,alphatauri,10,11,0.0,7,52,Finished,7
7378,2020_5,vettel,ferrari,5,12,0.0,11,52,Finished,12
7379,2020_5,sainz,mclaren,55,13,0.0,12,52,Finished,13
7380,2020_5,ricciardo,renault,3,14,0.0,5,51,+1 Lap,5
7381,2020_5,raikkonen,alfa,7,15,0.0,20,51,+1 Lap,20
7382,2020_5,grosjean,haas,8,16,0.0,13,51,+1 Lap,14
7383,2020_5,giovinazzi,alfa,99,17,0.0,19,51,+1 Lap,19
7384,2020_5,russell,williams,63,18,0.0,15,51,+1 Lap,15
7385,2020_5,latifi,williams,6,19,0.0,18,51,+1 Lap,18
7386,2020_5,kevin_magnussen,haas,20,20,0.0,17,43,Retired,17
7387,2020_6,hamilton,mercedes,44,1,25.0,1,66,Finished,1
7388,2020_6,max_verstappen,red_bull,33,2,18.0,3,66,Finished,3
7389,2020_6,bottas,mercedes,77,3,16.0,2,66,Finished,2
7390,2020_6,stroll,racing_point,18,4,12.0,5,65,+1 Lap,5
7391,2020_6,perez,racing_point,11,5,10.0,4,65,+1 Lap,4
7392,2020_6,sainz,mclaren,55,6,8.0,7,65,+1 Lap,7
7393,2020_6,vettel,ferrari,5,7,6.0,11,65,+1 Lap,11
7394,2020_6,albon,red_bull,23,8,4.0,6,65,+1 Lap,6
7395,2020_6,gasly,alphatauri,10,9,2.0,10,65,+1 Lap,10
7396,2020_6,norris,mclaren,4,10,1.0,8,65,+1 Lap,8
7397,2020_6,ricciardo,renault,3,11,0.0,13,65,+1 Lap,13
7398,2020_6,kvyat,alphatauri,26,12,0.0,12,65,+1 Lap,12
7399,2020_6,ocon,renault,31,13,0.0,15,65,+1 Lap,15
7400,2020_6,raikkonen,alfa,7,14,0.0,14,65,+1 Lap,14
7401,2020_6,kevin_magnussen,haas,20,15,0.0,16,65,+1 Lap,16
7402,2020_6,giovinazzi,alfa,99,16,0.0,20,65,+1 Lap,20
7403,2020_6,russell,williams,63,17,0.0,18,65,+1 Lap,18
7404,2020_6,latifi,williams,6,18,0.0,19,64,+2 Laps,19
7405,2020_6,grosjean,haas,8,19,0.0,17,64,+2 Laps,17
7406,2020_6,leclerc,ferrari,16,20,0.0,9,38,Electronics,9
7407,2020_7,hamilton,mercedes,44,1,25.0,1,44,Finished,1
